element_global_id	obsoletename	obsoletenote	obsoletedate	obsoleteauthority
687967	<i>Tsuga mertensiana / Elliottia pyroliflorus</i> Woodland		2/1/2017	G. Kittel
688775	<i>Tsuga mertensiana - Chamaecyparis nootkatensis / Vaccinium ovalifolium / Lysichiton americanus</i> Swamp Forest		2/1/2017	G. Kittel
683160	<i>Hydrangea arborescens / Heuchera (americana var. hirsuticaulis, villosa var. arkansana) - Aquilegia canadensis</i> Cliff Shrubland		2/27/2017	D. Faber-Langendoen
900048	Midwest Acidic Cliff Alliance		2/27/2017	D. Faber-Langendoen
684593	Sandstone Midwest Moist Cliff Vegetation		2/27/2017	D. Faber-Langendoen
685775	Limestone - Dolostone Midwest Dry Cliff Sparse Vegetation		2/27/2017	D. Faber-Langendoen
686634	Limestone - Dolostone Midwest Moist Cliff Vegetation		2/27/2017	D. Faber-Langendoen
685883	Chert Ozark Dry Cliff Sparse Vegetation		2/27/2017	D. Faber-Langendoen
683174	<i>Picea sitchensis / Oplopanax horridus</i> Riparian Forest		1/31/2017	G. Kittel
687279	<i>Picea sitchensis / Vaccinium ovalifolium - Oplopanax horridus</i> Swamp Forest		1/31/2017	G. Kittel
683147	<i>Tsuga heterophylla - Chamaecyparis nootkatensis / Vaccinium ovalifolium - Oplopanax horridus</i> Forest		2/1/2017	G. Kittel
684731	<i>Tsuga heterophylla - (Thuja plicata) / Oplopanax horridus / Polystichum munitum</i> Forest		2/1/2017	G. Kittel
686454	Limestone - Dolostone Midwest Talus Vegetation		2/27/2017	D. Faber-Langendoen
893476	Midwest Limestone - Dolomite Outcrop		2/27/2017	D. Faber-Langendoen
878657	<i>Hydrangea arborescens / Heuchera villosa</i> Interior Circumneutral Cliff Alliance		2/27/2017	D. Faber-Langendoen
687392	<i>Atriplex parryi</i> Wet Shrubland [Placeholder]	elevated to Provisional	1/6/2017	K. Schulz
688929	Igneous Ozark Dry Cliff Sparse Vegetation		2/27/2017	D. Faber-Langendoen
